keyword,volumen_busqueda,competencia,cpc,tendencia
auriculares bluetooth,95000,Alta,1.2,Estable
auriculares inalámbricos cancelación ruido,42000,Alta,1.85,Creciendo
headphones bluetooth baratos,28000,Media,0.9,Estable
auriculares gaming bluetooth,31000,Alta,1.4,Creciendo
auriculares para estudiar,18000,Baja,0.65,Creciendo
auriculares over ear bluetooth,22000,Media,1.1,Estable
auriculares 40 horas batería,8500,Baja,0.55,Creciendo
auriculares micrófono videollamadas,14000,Baja,0.7,Creciendo
auriculares plegables viaje,9200,Baja,0.6,Estable
auriculares resistentes agua deporte,16000,Media,0.95,Creciendo
mejores auriculares bluetooth 2024,35000,Alta,1.6,Estable
auriculares bluetooth menos 50 dolares,12000,Media,0.8,Estable
auriculares carga rapida,7800,Baja,0.5,Creciendo
auriculares bluetooth niños,19000,Media,0.85,Creciendo
auriculares trabajar desde casa,11000,Baja,0.72,Creciendo
